2024-10-15 23:41:54.885: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Asterix-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Asterix-v5_2024-10-15-23-41-54
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-15 23:41:54.950: env id: ALE/Asterix-v5 |repeat_action_probability: 0 
2024-10-15 23:41:54.950: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 9
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-15 23:41:54.969: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-15 23:50:34.378: 1 test start:
2024-10-15 23:50:40.167: 1 avg_reward: 98.0
2024-10-15 23:50:40.167: 1 avg_steps: 310.65
2024-10-15 23:50:40.167: 1 epsilon: 0.8199037
2024-10-15 23:50:40.167: 1 q: 0.14752544
2024-10-16 00:00:25.033: 2 test start:
2024-10-16 00:00:29.873: 2 avg_reward: 278.0
2024-10-16 00:00:29.874: 2 avg_steps: 264.05
2024-10-16 00:00:29.874: 2 epsilon: 0.5948370999999999
2024-10-16 00:00:29.874: 2 q: 0.32847986
2024-10-16 00:10:15.951: 3 test start:
2024-10-16 00:10:21.359: 3 avg_reward: 353.0
2024-10-16 00:10:21.359: 3 avg_steps: 285.65
2024-10-16 00:10:21.359: 3 epsilon: 0.36988659999999995
2024-10-16 00:10:21.359: 3 q: 0.64680666
2024-10-16 00:20:09.204: 4 test start:
2024-10-16 00:20:13.665: 4 avg_reward: 305.5
2024-10-16 00:20:13.665: 4 avg_steps: 243.55
2024-10-16 00:20:13.665: 4 epsilon: 0.14485329999999996
2024-10-16 00:20:13.666: 4 q: 0.9343845
2024-10-16 00:30:06.901: 5 test start:
2024-10-16 00:30:11.963: 5 avg_reward: 385.5
2024-10-16 00:30:11.963: 5 avg_steps: 261.15
2024-10-16 00:30:11.964: 5 epsilon: 0.1
2024-10-16 00:30:11.964: 5 q: 1.0689213
2024-10-16 00:40:00.376: 6 test start:
2024-10-16 00:40:05.437: 6 avg_reward: 428.0
2024-10-16 00:40:05.437: 6 avg_steps: 273.55
2024-10-16 00:40:05.437: 6 epsilon: 0.1
2024-10-16 00:40:05.437: 6 q: 1.2805159
2024-10-16 00:49:59.833: 7 test start:
2024-10-16 00:50:06.324: 7 avg_reward: 778.0
2024-10-16 00:50:06.325: 7 avg_steps: 347.2
2024-10-16 00:50:06.325: 7 epsilon: 0.1
2024-10-16 00:50:06.325: 7 q: 1.7041072
2024-10-16 00:59:52.493: 8 test start:
2024-10-16 00:59:59.086: 8 avg_reward: 863.0
2024-10-16 00:59:59.086: 8 avg_steps: 357.55
2024-10-16 00:59:59.087: 8 epsilon: 0.1
2024-10-16 00:59:59.087: 8 q: 2.0646293
2024-10-16 01:09:57.169: 9 test start:
2024-10-16 01:10:07.434: 9 avg_reward: 1468.0
