2024-10-11 16:47:47.687: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Atlantis-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Atlantis-v5_2024-10-11-16-47-47
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-11 16:47:47.789: env id: ALE/Atlantis-v5 |repeat_action_probability: 0 
2024-10-11 16:47:47.789: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 4
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-11 16:47:48.056: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-11 16:57:12.322: 1 test start:
2024-10-11 16:57:23.273: 1 avg_reward: 2984.0
2024-10-11 16:57:23.273: 1 avg_steps: 577.95
2024-10-11 16:57:23.273: 1 epsilon: 0.8194096
2024-10-11 16:57:23.273: 1 q: 0.17837352
2024-10-11 17:07:54.517: 2 test start:
2024-10-11 17:08:05.493: 2 avg_reward: 3964.0
2024-10-11 17:08:05.494: 2 avg_steps: 590.45
2024-10-11 17:08:05.494: 2 epsilon: 0.5942548
2024-10-11 17:08:05.494: 2 q: 0.36438727
2024-10-11 17:18:01.105: 3 test start:
2024-10-11 17:18:14.345: 3 avg_reward: 5284.0
2024-10-11 17:18:14.345: 3 avg_steps: 683.35
2024-10-11 17:18:14.345: 3 epsilon: 0.3695653
2024-10-11 17:18:14.345: 3 q: 0.43108717
2024-10-11 18:06:21.466: 4 test start:
2024-10-11 18:06:36.206: 4 avg_reward: 7354.0
2024-10-11 18:06:36.206: 4 avg_steps: 748.5
2024-10-11 18:06:36.206: 4 epsilon: 0.14419269999999995
2024-10-11 18:06:36.206: 4 q: 0.527936
2024-10-11 18:17:08.717: 5 test start:
2024-10-11 18:17:31.667: 5 avg_reward: 14859.0
2024-10-11 18:17:31.667: 5 avg_steps: 1150.45
2024-10-11 18:17:31.667: 5 epsilon: 0.1
2024-10-11 18:17:31.667: 5 q: 0.5768294
2024-10-11 18:28:05.390: 6 test start:
2024-10-11 18:28:20.366: 6 avg_reward: 6649.0
2024-10-11 18:28:20.366: 6 avg_steps: 753.75
2024-10-11 18:28:20.366: 6 epsilon: 0.1
2024-10-11 18:28:20.366: 6 q: 0.72135586
2024-10-11 18:38:53.121: 7 test start:
2024-10-11 18:39:04.212: 7 avg_reward: 2484.0
2024-10-11 18:39:04.212: 7 avg_steps: 554.8
2024-10-11 18:39:04.212: 7 epsilon: 0.1
2024-10-11 18:39:04.212: 7 q: 0.70942044
2024-10-11 18:49:36.927: 8 test start:
2024-10-11 18:49:55.024: 8 avg_reward: 11059.0
2024-10-11 18:49:55.024: 8 avg_steps: 912.6
2024-10-11 18:49:55.025: 8 epsilon: 0.1
2024-10-11 18:49:55.025: 8 q: 0.7985363
2024-10-11 19:00:27.803: 9 test start:
2024-10-11 19:00:38.710: 9 avg_reward: 2599.0
