2024-10-13 07:23:22.054: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/DoubleDunk-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-DoubleDunk-v5_2024-10-13-07-23-22
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 07:23:22.120: env id: ALE/DoubleDunk-v5 |repeat_action_probability: 0 
2024-10-13 07:23:22.121: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 07:23:22.136: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 07:32:36.917: 1 test start:
2024-10-13 07:33:32.307: 1 avg_reward: -21.7
2024-10-13 07:33:32.307: 1 avg_steps: 2906.65
2024-10-13 07:33:32.307: 1 epsilon: 0.8187732999999999
2024-10-13 07:33:32.307: 1 q: 0.04700628
2024-10-13 07:44:04.609: 2 test start:
2024-10-13 07:44:44.148: 2 avg_reward: -23.3
2024-10-13 07:44:44.148: 2 avg_steps: 1983.0
2024-10-13 07:44:44.148: 2 epsilon: 0.5934565
2024-10-13 07:44:44.148: 2 q: 0.08993225
2024-10-13 07:55:03.123: 3 test start:
2024-10-13 07:55:45.339: 3 avg_reward: -22.4
2024-10-13 07:55:45.339: 3 avg_steps: 2112.15
2024-10-13 07:55:45.339: 3 epsilon: 0.36860499999999996
2024-10-13 07:55:45.339: 3 q: 0.16625308
2024-10-13 08:05:58.029: 4 test start:
2024-10-13 08:06:56.512: 4 avg_reward: -24.0
2024-10-13 08:06:56.512: 4 avg_steps: 3038.45
2024-10-13 08:06:56.512: 4 epsilon: 0.14499909999999994
2024-10-13 08:06:56.513: 4 q: 0.145944
2024-10-13 08:17:20.923: 5 test start:
2024-10-13 08:17:58.322: 5 avg_reward: -21.6
2024-10-13 08:17:58.322: 5 avg_steps: 1847.2
2024-10-13 08:17:58.322: 5 epsilon: 0.1
2024-10-13 08:17:58.322: 5 q: 0.24002354
2024-10-13 08:28:04.582: 6 test start:
2024-10-13 08:28:50.920: 6 avg_reward: -21.1
2024-10-13 08:28:50.920: 6 avg_steps: 2367.65
2024-10-13 08:28:50.920: 6 epsilon: 0.1
2024-10-13 08:28:50.920: 6 q: 0.2685753
2024-10-13 08:39:16.869: 7 test start:
2024-10-13 08:40:07.592: 7 avg_reward: -22.4
2024-10-13 08:40:07.592: 7 avg_steps: 2626.0
2024-10-13 08:40:07.592: 7 epsilon: 0.1
2024-10-13 08:40:07.592: 7 q: 0.2453422
2024-10-13 08:50:13.517: 8 test start:
2024-10-13 08:50:57.190: 8 avg_reward: -21.1
2024-10-13 08:50:57.191: 8 avg_steps: 2197.6
2024-10-13 08:50:57.191: 8 epsilon: 0.1
2024-10-13 08:50:57.191: 8 q: 0.26530316
2024-10-13 09:01:23.896: 9 test start:
