2024-10-17 16:52:29.610: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Kangaroo-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Kangaroo-v5_2024-10-17-16-52-29
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-17 16:52:29.672: env id: ALE/Kangaroo-v5 |repeat_action_probability: 0 
2024-10-17 16:52:29.672: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-17 16:52:29.687: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-17 17:01:49.698: 1 test start:
2024-10-17 17:01:58.377: 1 avg_reward: -2.0
2024-10-17 17:01:58.377: 1 avg_steps: 462.95
2024-10-17 17:01:58.377: 1 epsilon: 0.8198398
2024-10-17 17:01:58.377: 1 q: 0.044587146
2024-10-17 17:12:05.925: 2 test start:
2024-10-17 17:12:12.319: 2 avg_reward: 8.0
2024-10-17 17:12:12.319: 2 avg_steps: 320.05
2024-10-17 17:12:12.319: 2 epsilon: 0.5947426
2024-10-17 17:12:12.319: 2 q: 0.06412126
2024-10-17 17:22:21.757: 3 test start:
2024-10-17 17:22:31.486: 3 avg_reward: 38.0
2024-10-17 17:22:31.486: 3 avg_steps: 506.3
2024-10-17 17:22:31.486: 3 epsilon: 0.36985599999999996
2024-10-17 17:22:31.486: 3 q: 0.07559186
2024-10-17 17:32:39.450: 4 test start:
2024-10-17 17:32:48.342: 4 avg_reward: 18.0
2024-10-17 17:32:48.342: 4 avg_steps: 442.9
2024-10-17 17:32:48.342: 4 epsilon: 0.14495769999999997
2024-10-17 17:32:48.342: 4 q: 0.07620557
2024-10-17 17:42:58.521: 5 test start:
2024-10-17 17:43:05.567: 5 avg_reward: 58.0
2024-10-17 17:43:05.567: 5 avg_steps: 366.15
2024-10-17 17:43:05.567: 5 epsilon: 0.1
2024-10-17 17:43:05.567: 5 q: 0.109905764
2024-10-17 17:53:11.556: 6 test start:
2024-10-17 17:53:19.865: 6 avg_reward: 118.0
2024-10-17 17:53:19.865: 6 avg_steps: 415.05
2024-10-17 17:53:19.865: 6 epsilon: 0.1
2024-10-17 17:53:19.865: 6 q: 0.12089462
2024-10-17 18:03:25.348: 7 test start:
2024-10-17 18:03:31.356: 7 avg_reward: 8.0
2024-10-17 18:03:31.356: 7 avg_steps: 307.2
2024-10-17 18:03:31.356: 7 epsilon: 0.1
2024-10-17 18:03:31.356: 7 q: 0.119059496
2024-10-17 18:13:50.990: 8 test start:
2024-10-17 18:14:01.030: 8 avg_reward: 438.0
2024-10-17 18:14:01.031: 8 avg_steps: 494.55
2024-10-17 18:14:01.031: 8 epsilon: 0.1
2024-10-17 18:14:01.031: 8 q: 0.12946509
2024-10-17 18:24:03.698: 9 test start:
2024-10-17 18:24:13.511: 9 avg_reward: 298.0
