2024-10-16 06:16:01.807: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/Seaquest-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-Seaquest-v5_2024-10-16-06-16-01
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-16 06:16:01.871: env id: ALE/Seaquest-v5 |repeat_action_probability: 0 
2024-10-16 06:16:01.872: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 18
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-16 06:16:01.888: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-16 06:25:23.240: 1 test start:
2024-10-16 06:25:39.746: 1 avg_reward: 163.0
2024-10-16 06:25:39.747: 1 avg_steps: 847.45
2024-10-16 06:25:39.747: 1 epsilon: 0.8190037
2024-10-16 06:25:39.747: 1 q: 0.1479831
2024-10-16 06:36:01.573: 2 test start:
2024-10-16 06:36:13.434: 2 avg_reward: 96.0
2024-10-16 06:36:13.435: 2 avg_steps: 605.65
2024-10-16 06:36:13.435: 2 epsilon: 0.5949675999999999
2024-10-16 06:36:13.435: 2 q: 0.27302334
2024-10-16 06:46:39.982: 3 test start:
2024-10-16 06:46:50.919: 3 avg_reward: 51.0
2024-10-16 06:46:50.919: 3 avg_steps: 558.35
2024-10-16 06:46:50.919: 3 epsilon: 0.3699414999999999
2024-10-16 06:46:50.919: 3 q: 0.42265087
2024-10-16 06:57:16.959: 4 test start:
2024-10-16 06:57:30.201: 4 avg_reward: -2.0
2024-10-16 06:57:30.201: 4 avg_steps: 682.85
2024-10-16 06:57:30.201: 4 epsilon: 0.1442952999999999
2024-10-16 06:57:30.201: 4 q: 0.7290781
2024-10-16 07:07:57.774: 5 test start:
2024-10-16 07:08:12.517: 5 avg_reward: 197.0
2024-10-16 07:08:12.517: 5 avg_steps: 745.85
2024-10-16 07:08:12.517: 5 epsilon: 0.1
2024-10-16 07:08:12.517: 5 q: 0.9423728
2024-10-16 07:18:41.710: 6 test start:
2024-10-16 07:18:53.610: 6 avg_reward: 101.0
2024-10-16 07:18:53.610: 6 avg_steps: 598.95
2024-10-16 07:18:53.610: 6 epsilon: 0.1
2024-10-16 07:18:53.610: 6 q: 1.2446324
2024-10-16 07:29:22.368: 7 test start:
2024-10-16 07:29:39.626: 7 avg_reward: 212.0
2024-10-16 07:29:39.626: 7 avg_steps: 875.45
2024-10-16 07:29:39.626: 7 epsilon: 0.1
2024-10-16 07:29:39.626: 7 q: 1.5602751
2024-10-16 07:40:08.869: 8 test start:
2024-10-16 07:40:29.988: 8 avg_reward: 233.0
2024-10-16 07:40:29.989: 8 avg_steps: 1064.5
2024-10-16 07:40:29.989: 8 epsilon: 0.1
2024-10-16 07:40:29.989: 8 q: 1.8315192
2024-10-16 07:50:58.857: 9 test start:
2024-10-16 07:51:20.820: 9 avg_reward: 356.0
