2024-10-13 05:05:11.437: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/SpaceInvaders-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-SpaceInvaders-v5_2024-10-13-05-05-11
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-13 05:05:11.503: env id: ALE/SpaceInvaders-v5 |repeat_action_probability: 0 
2024-10-13 05:05:11.503: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 6
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-13 05:05:11.518: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-13 05:14:15.852: 1 test start:
2024-10-13 05:14:29.190: 1 avg_reward: 282.0
2024-10-13 05:14:29.190: 1 avg_steps: 718.35
2024-10-13 05:14:29.190: 1 epsilon: 0.8199334
2024-10-13 05:14:29.197: 1 q: 0.13672833
2024-10-13 05:24:12.349: 2 test start:
2024-10-13 05:24:23.134: 2 avg_reward: 184.5
2024-10-13 05:24:23.134: 2 avg_steps: 556.1
2024-10-13 05:24:23.135: 2 epsilon: 0.594424
2024-10-13 05:24:23.135: 2 q: 0.35859466
2024-10-13 05:34:27.530: 3 test start:
2024-10-13 05:34:41.489: 3 avg_reward: 271.0
2024-10-13 05:34:41.489: 3 avg_steps: 750.25
2024-10-13 05:34:41.489: 3 epsilon: 0.3697975
2024-10-13 05:34:41.489: 3 q: 0.62663287
2024-10-13 05:44:17.072: 4 test start:
2024-10-13 05:44:27.347: 4 avg_reward: 34.0
2024-10-13 05:44:27.347: 4 avg_steps: 524.5
2024-10-13 05:44:27.353: 4 epsilon: 0.14486769999999993
2024-10-13 05:44:27.353: 4 q: 0.79581225
2024-10-13 05:54:31.188: 5 test start:
2024-10-13 05:54:41.221: 5 avg_reward: 33.5
2024-10-13 05:54:41.221: 5 avg_steps: 524.8
2024-10-13 05:54:41.221: 5 epsilon: 0.1
2024-10-13 05:54:41.221: 5 q: 0.99656004
2024-10-13 06:04:46.719: 6 test start:
2024-10-13 06:04:55.482: 6 avg_reward: 175.0
2024-10-13 06:04:55.483: 6 avg_steps: 448.65
2024-10-13 06:04:55.483: 6 epsilon: 0.1
2024-10-13 06:04:55.483: 6 q: 1.1251854
2024-10-13 06:14:51.249: 7 test start:
2024-10-13 06:15:00.846: 7 avg_reward: 106.25
2024-10-13 06:15:00.846: 7 avg_steps: 523.8
2024-10-13 06:15:00.846: 7 epsilon: 0.1
2024-10-13 06:15:00.846: 7 q: 1.1423115
2024-10-13 06:24:56.738: 8 test start:
2024-10-13 06:25:07.783: 8 avg_reward: 205.25
2024-10-13 06:25:07.783: 8 avg_steps: 557.4
2024-10-13 06:25:07.783: 8 epsilon: 0.1
2024-10-13 06:25:07.783: 8 q: 1.3267202
2024-10-13 06:35:07.184: 9 test start:
2024-10-13 06:35:15.946: 9 avg_reward: 147.25
