2024-10-14 17:48:37.881: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/WizardOfWor-v5
epsilon_for_test: 0.05
epsilon_max: 1.0
epsilon_min: 0.1
exp_name: ALE-WizardOfWor-v5_2024-10-14-17-48-37
exp_path: ../exps/dqn/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 5
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-10-14 17:48:37.941: env id: ALE/WizardOfWor-v5 |repeat_action_probability: 0 
2024-10-14 17:48:37.941: screen_size: 84 | grayscale_obs:True 
scale_obs:False | action space size: 10
remove flickering: True | frame skip: 4
state space shape: (210, 160, 3) 
2024-10-14 17:48:37.961: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-10-14 17:57:36.896: 1 test start:
2024-10-14 17:57:54.529: 1 avg_reward: 217.0
2024-10-14 17:57:54.530: 1 avg_steps: 945.95
2024-10-14 17:57:54.530: 1 epsilon: 0.8195815
2024-10-14 17:57:54.530: 1 q: 0.084869675
2024-10-14 18:07:39.129: 2 test start:
2024-10-14 18:07:53.877: 2 avg_reward: 377.0
2024-10-14 18:07:53.877: 2 avg_steps: 803.05
2024-10-14 18:07:53.877: 2 epsilon: 0.5949055
2024-10-14 18:07:53.877: 2 q: 0.12661366
2024-10-14 18:17:58.667: 3 test start:
2024-10-14 18:18:06.024: 3 avg_reward: 152.0
2024-10-14 18:18:06.024: 3 avg_steps: 394.05
2024-10-14 18:18:06.024: 3 epsilon: 0.36970749999999997
2024-10-14 18:18:06.024: 3 q: 0.15641312
2024-10-14 18:27:47.968: 4 test start:
2024-10-14 18:28:02.258: 4 avg_reward: 197.0
2024-10-14 18:28:02.258: 4 avg_steps: 770.45
2024-10-14 18:28:02.259: 4 epsilon: 0.14404329999999999
2024-10-14 18:28:02.259: 4 q: 0.22916406
2024-10-14 18:38:01.760: 5 test start:
2024-10-14 18:38:15.834: 5 avg_reward: 157.0
2024-10-14 18:38:15.834: 5 avg_steps: 783.2
2024-10-14 18:38:15.834: 5 epsilon: 0.1
2024-10-14 18:38:15.834: 5 q: 0.2549447
2024-10-14 18:48:07.818: 6 test start:
2024-10-14 18:48:19.362: 6 avg_reward: 77.0
2024-10-14 18:48:19.363: 6 avg_steps: 604.45
2024-10-14 18:48:19.363: 6 epsilon: 0.1
2024-10-14 18:48:19.363: 6 q: 0.26498967
2024-10-14 18:58:16.429: 7 test start:
2024-10-14 18:58:30.319: 7 avg_reward: 132.0
2024-10-14 18:58:30.319: 7 avg_steps: 752.7
2024-10-14 18:58:30.319: 7 epsilon: 0.1
2024-10-14 18:58:30.319: 7 q: 0.3376653
2024-10-14 19:08:28.256: 8 test start:
2024-10-14 19:08:44.216: 8 avg_reward: 207.0
2024-10-14 19:08:44.216: 8 avg_steps: 836.55
2024-10-14 19:08:44.216: 8 epsilon: 0.1
2024-10-14 19:08:44.216: 8 q: 0.3561976
2024-10-14 19:18:38.905: 9 test start:
2024-10-14 19:18:52.368: 9 avg_reward: 207.0
