2024-11-16 09:34:00.458: 
parameters:agent_test_episodes: 20
batch_num_per_epoch: 250000
device: cuda:0
env_name: ALE/SpaceInvaders-v5
epsilon_for_test: 0.001
epsilon_max: 0.1
epsilon_min: 0.01
exp_name: ALE-SpaceInvaders-v5_2024-11-16-09-34-00
exp_path: ../exps/dqn_finetune/
exploration_steps: 1000000
gamma: 0.99
held_out_states_num: 1000
learning_rate: 0.00025
mini_batch_size: 32
model_update_freq: 4
n_times: 1
no_op_max: 30
phi_channel: 4
replay_buffer_size: 1000000
replay_start_size: 50000
save_model: true
screen_size: 84
seed: 0
skip_k_frame: 4
step_c: 10000
training_steps: 50000000

2024-11-16 09:34:00.907: optimizer: RMSprop (
Parameter Group 0
    alpha: 0.95
    centered: False
    differentiable: False
    eps: 0.01
    foreach: None
    lr: 0.00025
    maximize: False
    momentum: 0
    weight_decay: 0
)
2024-11-16 09:42:12.385: 1 test start:
2024-11-16 09:42:23.101: 1 avg_reward: 249.0
2024-11-16 09:42:23.102: 1 avg_steps: 544.95
2024-11-16 09:42:23.102: 1 epsilon: 0.08196094000000001
2024-11-16 09:42:23.102: 1 q: 0.20176606
2024-11-16 09:51:27.807: 2 test start:
2024-11-16 09:51:40.637: 2 avg_reward: 15.0
2024-11-16 09:51:40.637: 2 avg_steps: 683.85
2024-11-16 09:51:40.637: 2 epsilon: 0.05945257
2024-11-16 09:51:40.637: 2 q: 0.37943524
2024-11-16 10:00:17.900: 3 test start:
2024-11-16 10:00:34.581: 3 avg_reward: 253.0
2024-11-16 10:00:34.581: 3 avg_steps: 856.15
2024-11-16 10:00:34.581: 3 epsilon: 0.03699991
2024-11-16 10:00:34.581: 3 q: 0.5987626
2024-11-16 10:09:39.613: 4 test start:
2024-11-16 10:09:49.330: 4 avg_reward: 167.25
2024-11-16 10:09:49.331: 4 avg_steps: 515.5
2024-11-16 10:09:49.331: 4 epsilon: 0.014485239999999996
2024-11-16 10:09:49.331: 4 q: 0.7439412
2024-11-16 10:18:33.766: 5 test start:
2024-11-16 10:18:47.188: 5 avg_reward: 157.75
2024-11-16 10:18:47.189: 5 avg_steps: 719.2
2024-11-16 10:18:47.189: 5 epsilon: 0.01
2024-11-16 10:18:47.189: 5 q: 0.9890983
2024-11-16 10:28:03.671: 6 test start:
2024-11-16 10:28:13.946: 6 avg_reward: 269.5
2024-11-16 10:28:13.946: 6 avg_steps: 540.15
2024-11-16 10:28:13.946: 6 epsilon: 0.01
2024-11-16 10:28:13.947: 6 q: 1.216303
2024-11-16 10:36:59.264: 7 test start:
2024-11-16 10:37:10.560: 7 avg_reward: 277.0
2024-11-16 10:37:10.560: 7 avg_steps: 573.25
2024-11-16 10:37:10.560: 7 epsilon: 0.01
2024-11-16 10:37:10.560: 7 q: 1.3137031
2024-11-16 10:46:33.461: 8 test start:
2024-11-16 10:46:41.554: 8 avg_reward: 212.5
2024-11-16 10:46:41.555: 8 avg_steps: 442.65
2024-11-16 10:46:41.555: 8 epsilon: 0.01
2024-11-16 10:46:41.555: 8 q: 1.5421113
2024-11-16 10:55:27.297: 9 test start:
2024-11-16 10:55:38.059: 9 avg_reward: 288.25
2024-11-16 10:55:38.059: 9 avg_steps: 544.05
2024-11-16 10:55:38.059: 9 epsilon: 0.01
2024-11-16 10:55:38.060: 9 q: 1.6870897
2024-11-16 11:05:02.036: 10 test start:
